id	name	projectId	parentFolderId	createdAt	updatedAt
He0B0Qw9ylywWN74	ALT-BOD-NTE	Y0Ygmqe59jevHoeV	1rTWQcZwewCuqi21	2026-08-01 04:21:57.025+00	2026-08-01 04:21:57.025+00
t81hTQN6uDkRiUJQ	Atmon_Météo_France	Y0Ygmqe59jevHoeV		2026-07-19 22:52:48.212+00	2026-07-19 22:52:48.212+00
xb9NyaeH0Ts0R5qh	BTF.PROD	Y0Ygmqe59jevHoeV		2026-06-24 03:21:53.315+00	2026-07-09 00:09:26.417+00
utt6cUlaJZMcnZme	BTF.TEST	Y0Ygmqe59jevHoeV		2026-06-24 03:21:58.964+00	2026-07-09 00:09:12.145+00
USmDA5NsejvOMhQh	BURKE-SAMMRIVER-EASTLKSAMM MONITORING PROJECT	Y0Ygmqe59jevHoeV		2026-07-29 20:24:58.326+00	2026-07-29 20:24:58.326+00
W0ooXbZiTXt7FWwh	CDM	Y0Ygmqe59jevHoeV	1rTWQcZwewCuqi21	2026-08-01 04:20:51.711+00	2026-08-01 04:20:51.711+00
4NYZry4xGhe9Ppcf	FLE Tab Per Day	Y0Ygmqe59jevHoeV		2026-07-15 18:02:20.904+00	2026-07-15 18:02:20.904+00
5meaZNwvxdGXJLU4	FRANCE-NEWS-YT-DIGEST	Y0Ygmqe59jevHoeV		2026-07-29 16:34:35.894+00	2026-07-29 16:34:35.894+00
scCMq55jwZLCNABr	Flight Price Check	Y0Ygmqe59jevHoeV		2026-07-16 18:23:07.234+00	2026-07-16 18:23:07.234+00
EJk66vqWTjzZgzuW	LodgingTownPropertyMon	Y0Ygmqe59jevHoeV		2026-07-15 03:00:45.354+00	2026-07-18 21:20:24.088+00
D64gKJM6vQLhPm6G	PERSONAL	Y0Ygmqe59jevHoeV		2026-06-28 14:21:40.571+00	2026-06-28 14:21:40.571+00
1rTWQcZwewCuqi21	Route_Status_Seven_Connectors	Y0Ygmqe59jevHoeV		2026-07-20 23:53:14.771+00	2026-08-01 04:20:43.63+00
LaS9Q6sil9yCDzrV	UWISSY	Y0Ygmqe59jevHoeV	1rTWQcZwewCuqi21	2026-08-01 04:21:14.681+00	2026-08-01 04:21:14.681+00
RBuahcuPVVftiSPj	a8.PROD	Y0Ygmqe59jevHoeV		2026-07-09 00:19:16.122+00	2026-07-09 00:19:16.122+00
o5dLfLXNTj739WJ2	a8.TEST	Y0Ygmqe59jevHoeV		2026-07-09 00:19:27.946+00	2026-07-09 00:19:27.946+00
p4iA2LNA8SnFouxB	nbj-yt	Y0Ygmqe59jevHoeV		2026-07-27 03:36:10.529+00	2026-07-27 03:36:10.529+00
(16 rows)
