id	name	active	isArchived	nodes	versionCounter	versionId	updatedAt	projectId	project_name	parentFolderId	folder_name	credential_node_count
pelOd6E0sdu5mygf	v0001.01_RouteConditionsConnector	f	f	17	1	7f070612-dfb6-44dd-b5ba-8a698f08b652	2026-08-01 04:22:51.392+00	Y0Ygmqe59jevHoeV	John Brooks <john@biketourfrance.net>	W0ooXbZiTXt7FWwh	CDM	0
RR7cLSV9oGngrJdA	v0001.01_RouteConditionsConnector	t	f	32	18	bc320298-2096-4db6-8276-1a0d07f138a4	2026-08-02 18:56:12.052+00	Y0Ygmqe59jevHoeV	John Brooks <john@biketourfrance.net>			0
CvzPNlnWXrzZfYGP	v0001.02_WeatherConnector	t	f	21	2	d1f91cb3-e5f8-4e58-abd3-86ae7e7552f1	2026-08-01 04:22:41.718+00	Y0Ygmqe59jevHoeV	John Brooks <john@biketourfrance.net>	W0ooXbZiTXt7FWwh	CDM	2
fA0ZjWH3Itl83aPC	v0001.02_WeatherConnector	t	f	40	6	e98037ed-2e1e-4054-a5d9-1a626339bc05	2026-08-02 18:56:14.134+00	Y0Ygmqe59jevHoeV	John Brooks <john@biketourfrance.net>			0
qQPYZ1eUdNsAwBNM	v0001.03_AirQualityConnector	f	f	20	1	6394c909-8775-487f-966b-579fee671b9e	2026-08-01 04:22:56.792+00	Y0Ygmqe59jevHoeV	John Brooks <john@biketourfrance.net>	W0ooXbZiTXt7FWwh	CDM	1
qlM2XIv2BbFSh3in	v0001.03_AirQualityConnector	t	f	48	4	14087715-85b3-4f03-b3b5-5ab2cc94e04f	2026-08-02 18:56:15.952+00	Y0Ygmqe59jevHoeV	John Brooks <john@biketourfrance.net>			0
263acPaILiJmPW9m	v0001.04_WildfireConnector	t	f	15	5	f090d4b7-4751-4a29-8297-bc8e59c01fb6	2026-08-01 04:21:36.062+00	Y0Ygmqe59jevHoeV	John Brooks <john@biketourfrance.net>	W0ooXbZiTXt7FWwh	CDM	1
w6xnelPQeRFZk8BG	v0001.04_WildfireConnector	t	f	36	2	0e4dd526-c55a-4ab0-bfc9-2cec91bf50f0	2026-08-02 18:56:17.033+00	Y0Ygmqe59jevHoeV	John Brooks <john@biketourfrance.net>			0
D1Dsa02M3LAmzRfy	v0001.05_FloodConditionsConnector	t	f	21	4	35c4b7e1-4536-4a9f-af36-500c7c91a63e	2026-08-01 04:21:33.638+00	Y0Ygmqe59jevHoeV	John Brooks <john@biketourfrance.net>	W0ooXbZiTXt7FWwh	CDM	0
4RiNqOKD9BCZFH6P	v0001.05_FloodConditionsConnector	t	f	56	4	f790d7db-3407-4bab-ab09-3be06a54a65e	2026-08-02 18:56:18.319+00	Y0Ygmqe59jevHoeV	John Brooks <john@biketourfrance.net>			0
poGV37VLUGIUxfGK	v0001.06_TrailInfrastructureStatusConnector	t	f	48	4	0ca79cfc-a582-42e9-8f0b-d30017ef1348	2026-08-02 18:56:19.957+00	Y0Ygmqe59jevHoeV	John Brooks <john@biketourfrance.net>			0
0h9XYSxumCdZFYwh	v0001.07_GovernmentSafetyAlertsConnector	t	f	24	4	e8b737e3-f8ad-4ff5-88fc-d98b04b5bc09	2026-08-01 04:21:26.199+00	Y0Ygmqe59jevHoeV	John Brooks <john@biketourfrance.net>	W0ooXbZiTXt7FWwh	CDM	0
