BEGIN
UPDATE 10
id	name	active	nodes	parentFolderId
RR7cLSV9oGngrJdA	v01.UWI_LANE01	t	32	LaS9Q6sil9yCDzrV
fA0ZjWH3Itl83aPC	v01.UWI_LANE02	t	40	LaS9Q6sil9yCDzrV
qlM2XIv2BbFSh3in	v01.UWI_LANE03	t	48	LaS9Q6sil9yCDzrV
w6xnelPQeRFZk8BG	v01.UWI_LANE04	t	36	LaS9Q6sil9yCDzrV
4RiNqOKD9BCZFH6P	v01.UWI_LANE05	t	56	LaS9Q6sil9yCDzrV
poGV37VLUGIUxfGK	v01.UWI_LANE06	t	48	LaS9Q6sil9yCDzrV
08g3JNwQPVSxUl2H	v01.UWI_LANE07	t	48	LaS9Q6sil9yCDzrV
uwIssy08RouteFacilities	v01.UWI_LANE08	f	24	LaS9Q6sil9yCDzrV
gp8WlccGwLydNWG7	v01.UWI_LANE20	f	36	LaS9Q6sil9yCDzrV
KhbGg5gBn7Rbne68	v01.UWI_LANE30	f	41	LaS9Q6sil9yCDzrV
(10 rows)
COMMIT
